"","age","gender","par_edu","hisei","mig_bac","paa_gpa","big_ext","big_agr","big_con","big_neu","big_ope","fem_inm","fem_exm"
"3485",32.5,"0","2",67.1100006103516,"0",NA,4.5,3.66666666666667,4.5,3.5,2.5,NA,NA
"3486",31.75,"1","2",82.4100036621094,"0",1.7,4,3.66666666666667,3,3,3,NA,NA
"3487",33.3300018310547,"0","1",29.1399993896484,"0",3,4,4.33333333333333,5,4.5,5,3.77777777777778,2.08333333333333
"3488",31.3299999237061,"0","3",80.7799987792969,"0",1,4.5,3.66666666666667,5,3.5,3,3.88888888888889,1.41666666666667
"3489",35.9199981689453,"0","2",65.0100021362305,"0",2.9,5,4,3.5,2,4.5,NA,NA
"3490",28.4200000762939,"0",NA,NA,NA,1.2,3.5,3.33333333333333,3,4,5,2.33333333333333,1.83333333333333
"3491",25.9200000762939,"0","2",NA,"0",1.9,3.5,2.66666666666667,5,3.5,5,NA,NA
"3492",21.9200000762939,"0","3",NA,"0",2.7,5,4.33333333333333,3.5,3,4.5,3,2.83333333333333
"3493",24.5,"0","1",59.8899993896484,"0",2.7,4.5,3,3.5,3,4.5,NA,NA
"3494",32.25,"0","3",67.1100006103516,"0",2.2,4.5,3.66666666666667,3.5,3.5,5,NA,NA
"3495",30.75,"0","2",77.0999984741211,"0",2.1,5,4.33333333333333,4.5,2.5,3.5,3.33333333333333,1.75
"3496",30.4200000762939,"0","2",64.4400024414062,"1",1.8,4.5,3,2.5,2.5,5,2.88888888888889,2.41666666666667
"3497",25.8299999237061,"0","1",35.7000007629395,"0",3,4.5,3.33333333333333,3,3.5,2,2.55555555555556,2.25
"3498",28.5799999237061,"0","3",53.7700004577637,"0",3.3,3.5,4,3,3.5,3.5,NA,NA
"3499",22.8299999237061,"0","1",NA,"0",1.8,NA,NA,NA,NA,NA,2.66666666666667,2.58333333333333
"3500",32.4199981689453,"1","1",NA,"0",2.9,4,3.66666666666667,3,1,2.5,NA,NA
"3501",32.9199981689453,"1","2",81.9199981689453,"0",2.5,5,4.33333333333333,2.5,1,2,3.22222222222222,2.33333333333333
"3502",26.5799999237061,"0","1",NA,"0",2.9,5,4.33333333333333,3.5,2.5,3.5,NA,NA
"3503",35.75,"0","1",48.0999984741211,"0",2.5,5,4,5,2.5,4,NA,NA
"3504",29.25,"0","2",NA,"0",2.6,4.5,3.66666666666667,3.5,3,4,2.66666666666667,2.33333333333333
"3505",22.8299999237061,"0","1",28.4799995422363,"0",2,3.5,2.66666666666667,4.5,4,4.5,NA,NA
"3506",25.75,"0","1",37.8300018310547,"0",2.9,4,3.33333333333333,4.5,3,4,NA,NA
"3507",21.3299999237061,"0","2",29.1599998474121,"0",2.6,NA,NA,NA,NA,NA,NA,NA
"3508",28.6700000762939,"0","1",NA,"1",1.1,5,4.33333333333333,4,3.5,5,NA,NA
"3509",22.3299999237061,"1","2",76.4899978637695,"0",2.6,NA,NA,NA,NA,NA,NA,NA
"3510",34.1699981689453,"0","1",37.8300018310547,"0",3,4,4.33333333333333,4,2.5,5,3.77777777777778,2.41666666666667
"3511",25.4200000762939,"1","1",NA,"0",3.5,5,3.66666666666667,4.5,3,4,3.22222222222222,2.25
"3512",31.75,"0","1",29.1599998474121,"0",2.2,3,4.33333333333333,5,5,3,NA,NA
"3513",27.4200000762939,"1","1",NA,"0",2,2,4.33333333333333,4,2.5,2,NA,NA
"3514",35.3300018310547,"0","1",70.3399963378906,"0",2.5,2.5,3.66666666666667,3.5,2.5,2.5,NA,NA
"3515",30.6700000762939,"0","2",NA,"0",3,2.5,3.33333333333333,3.5,2,5,NA,NA
"3516",30.9200000762939,"0","1",NA,"0",2.2,4.5,4,4.5,2,4.5,NA,NA
"3517",26.6700000762939,"0","2",48.0999984741211,"0",2.4,3,3.66666666666667,4.5,1,4.5,NA,NA
"3518",32,"0","3",70.5,"0",1.6,3,3.66666666666667,5,3.5,2.5,NA,NA
"3519",30.6700000762939,"0","2",85.4100036621094,"0",2,3,3.33333333333333,2.5,3,5,3.66666666666667,2.16666666666667
"3520",30,"1","1",NA,"0",2.3,3,3,3.5,2,3,3.77777777777778,2
"3521",29.5,"0","1",76.6500015258789,"0",2,4,2.66666666666667,3.5,2,4,3.11111111111111,2.33333333333333
"3522",28.25,"1",NA,NA,NA,3.4,4,4.33333333333333,5,3.5,4,3.75,3.09090909090909
"3523",32.8300018310547,"1","1",NA,"0",2.1,5,4.33333333333333,4,1.5,2.5,NA,NA
"3524",22.5,"0","1",NA,"0",3.2,3.5,3.33333333333333,3,3.5,3,NA,NA
"3525",25.0799999237061,"0","2",NA,"0",1.9,5,3.33333333333333,5,3,5,NA,NA
