     0.000    -1.354    -0.468    -0.466    -0.078    -0.282    -0.633     0.441     0.863     0.185    -0.189    -0.792    -0.531  9999.000     1.333     3.333     4.000     3.000    20.080     0.000     1.000    -0.003     1.194    -0.095    -0.088    -0.008 7001970
     0.000     0.363     0.846     0.164    -0.078     0.347  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000    -0.357     0.879  9999.000  9999.000  9999.000  9999.000    20.080     0.000     0.000    -0.006    -0.218     1.339     0.026    -0.142 7001974
     0.000     0.935    -1.125     0.164    -0.710     0.977     0.524     0.950    -1.117     1.760    -0.189    -0.300     1.032  9999.000     2.333     2.667     3.000     3.000    21.420     0.000     0.000    -0.003     1.194    -0.095    -0.088    -0.008 7001976
     0.000    -1.354     1.502    -1.097    -0.710     0.347     0.524     0.950    -0.457     1.445     0.423     0.192     1.380     0.024     2.667     4.333     3.333     2.500    20.830     1.000     0.000    -0.044     0.031    -0.924    -0.284     2.221 7001977
     0.000     1.507     1.502    -1.097    -0.078     2.236  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.338  9999.000  9999.000  9999.000  9999.000  9999.000    20.580     0.000  9999.000    -0.003     1.194    -0.095    -0.088    -0.008 7001980
     0.000     1.507    -1.782    -1.097     1.186    -1.541    -0.054     0.441     0.863     1.130    -0.189    -0.300  9999.000     0.771  9999.000  9999.000  9999.000  9999.000    24.580     0.000     0.000    -0.006    -0.218     1.339     0.026    -0.142 7001981
     2.000    -0.782     0.189    -2.358     1.186     0.347  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000    -1.052     0.879     2.333     3.667     3.000     3.000    21.500     1.000     0.000    -0.006    -0.218     1.339     0.026    -0.142 7001984
     1.000    -1.354    -1.782    -0.466    -1.342    -1.541    -1.791     1.460     0.863     1.130    -0.189    -0.300    -0.010     1.070     1.667     2.667     2.000     2.750    22.250     1.000     0.000    -0.006    -0.218     1.339     0.026    -0.142 7001986
  9999.000     1.507    -0.468     0.164    -0.710    -1.541     1.103    -1.089     0.863     0.185    -0.801    -0.300    -1.573  9999.000     3.000     3.000     2.000     4.000    21.000     0.000     0.000    -0.006    -0.218     1.339     0.026    -0.142 7001994
     0.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.685  9999.000  9999.000  9999.000  9999.000  9999.000    20.250     0.000  9999.000    -0.003     1.194    -0.095    -0.088    -0.008 7001995
     2.000    -0.209     1.502     0.794     0.554    -0.282     0.524    -0.069    -1.117    -0.760     0.423     1.176    -0.010     1.313  9999.000  9999.000  9999.000  9999.000    19.830     0.000     0.000    -0.044     0.031    -0.924    -0.284     2.221 7001997
     1.000    -1.354     0.189     0.164    -0.078     0.347  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000    -1.573  9999.000  9999.000  9999.000  9999.000  9999.000    21.830     0.000  9999.000    -0.044     0.031    -0.924    -0.284     2.221 7002000
     0.000    -0.209     0.189     1.425    -0.078     0.977     0.524     0.441    -0.457    -0.445     1.034    -0.792    -0.357    -0.572     2.667     2.667     3.333     3.000    20.420     0.000     0.000    -0.056    -1.208     0.154     2.431    -0.322 7002004
     0.000     0.363     0.846     0.164    -0.710    -0.282  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000    -0.357    -0.605     2.000     2.667     3.000     2.750    22.920     0.000     1.000    -0.003     1.194    -0.095    -0.088    -0.008 7002011
     1.000     0.935     0.846     0.164     0.554     0.977     0.524     0.950     0.863     0.815    -0.801    -0.300     1.032  9999.000     3.000     4.667     3.667     3.250    20.500     1.000     0.000    -0.006    -0.218     1.339     0.026    -0.142 7002012
     2.000    -1.926    -3.095    -1.097     0.554     0.347  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000    -1.226     1.313  9999.000  9999.000  9999.000  9999.000    19.920     0.000  9999.000    -0.044     0.031    -0.924    -0.284     2.221 7002013
     1.000     0.935     0.189     0.164     0.554     0.347  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000    -1.052     0.129     2.000     4.000     2.000     3.000    19.500     0.000     0.000    -0.006    -0.218     1.339     0.026    -0.142 7002025
     0.000     0.935     0.846     0.164    -1.974    -0.912  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.511     0.037     2.333     3.333     3.000     3.500    27.580     1.000     0.000    -0.003     1.194    -0.095    -0.088    -0.008 7002026
     2.000    -0.782     0.189    -0.466    -0.078    -0.912    -0.633    -0.579    -1.117    -0.445     1.034     0.192     0.685     1.313     2.667     3.000     3.000     3.250    21.500     1.000     0.000    -0.044     0.031    -0.924    -0.284     2.221 7002030
     2.000    -1.354    -1.782    -2.988     1.186     0.347  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000    -0.357     1.291     2.667     2.333     2.667     3.250    19.750     0.000     0.000    -0.044     0.031    -0.924    -0.284     2.221 7002036
