     0.000     0.000    -0.466    -0.078    -0.468    -0.282    -1.353    -0.594     0.404    -0.468     0.189    -0.531  9999.000     0.379     2.889     3.429     1.000    -0.149     1.240    -0.091    -0.001 7001970
     0.000     0.000     0.164    -0.078     0.845     0.347     0.363  9999.000  9999.000  9999.000  9999.000    -0.357     0.879    -0.343  9999.000  9999.000     0.000    -0.149     1.240    -0.091    -0.001 7001974
     0.000     0.000     0.164    -0.710    -1.125     0.977     0.935     0.550     0.916    -0.072     1.751     1.032  9999.000    -0.923     2.778     3.000     0.000    -0.149     1.240    -0.091    -0.001 7001976
     0.000     1.000    -1.097    -0.710     1.502     0.347    -1.353  9999.000  9999.000  9999.000  9999.000     1.380     0.024    -0.554     3.889     2.857     0.000     1.511    -0.415    -0.094    -0.001 7001977
     0.000     0.000    -1.097    -0.078     1.502     2.236     1.507  9999.000  9999.000  9999.000  9999.000     0.338  9999.000     0.695  9999.000  9999.000  9999.000    -0.149     1.240    -0.091    -0.001 7001980
     0.000     0.000    -1.097     1.186    -1.781    -1.541     1.507    -0.022     0.404    -0.468     1.126  9999.000     0.770    -0.168  9999.000  9999.000     0.000     1.511    -0.415    -0.094    -0.001 7001981
     2.000     1.000    -2.357     1.186     0.189     0.347    -0.781  9999.000  9999.000  9999.000  9999.000    -1.052     0.879     0.096     3.444     3.000     0.000    -0.070    -0.086     1.156     0.000 7001984
     1.000     1.000    -0.466    -1.342    -1.781    -1.541    -1.353    -1.738     1.427    -0.468     1.126    -0.010     1.070     1.170     2.556     2.429     0.000    -0.070    -0.086     1.156     0.000 7001986
  9999.000     0.000     0.164    -0.710    -0.468    -1.541     1.507     1.122    -1.130    -0.865     0.189    -1.573  9999.000     0.643     3.556     3.143     0.000    -0.149     1.240    -0.091    -0.001 7001994
     0.000     0.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000  9999.000     0.685  9999.000    -1.381  9999.000  9999.000  9999.000    -0.149     1.240    -0.091    -0.001 7001995
     2.000     0.000     0.794     0.554     1.502    -0.282    -0.209     0.550    -0.107     0.722    -0.749    -0.010     1.313    -0.202  9999.000  9999.000     0.000    -0.070    -0.086     1.156     0.000 7001997
     1.000     0.000     0.164    -0.078     0.189     0.347    -1.353  9999.000  9999.000  9999.000  9999.000    -1.573  9999.000    -0.818  9999.000  9999.000  9999.000    -0.149     1.240    -0.091    -0.001 7002000
     0.000     0.000     1.425    -0.078     0.189     0.977    -0.209     0.550     0.404     0.325    -0.436    -0.357    -0.572     0.765     3.333     3.143     0.000    -0.149     1.240    -0.091    -0.001 7002004
     0.000     0.000     0.164    -0.710     0.845    -0.282     0.363  9999.000  9999.000  9999.000  9999.000    -0.357    -0.605     1.046     2.667     2.857     1.000    -0.149     1.240    -0.091    -0.001 7002011
     1.000     1.000     0.164     0.554     0.845     0.977     0.935     0.550     0.916    -0.468     0.813     1.032  9999.000     0.712     4.222     3.429     0.000    -0.070    -0.086     1.156     0.000 7002012
